Ncht,Nchb,Nchl,Nchr,Lg
3.253825382538253734e+02,3.253825382538253734e+02,1.245124512451244847e+01,1.245124512451244847e+01,1.350946380940356663e-06
3.256525652565256337e+02,3.256525652565256337e+02,1.245604560456045462e+01,1.245604560456045462e+01,1.350403638090329589e-06
3.259225922592259508e+02,3.259225922592259508e+02,1.246084608460846077e+01,1.246084608460846077e+01,1.349861350018645702e-06
3.261926192619262110e+02,3.261926192619262110e+02,1.246564656465646515e+01,1.246564656465646515e+01,1.349319516109045334e-06
3.264626462646264713e+02,3.264626462646264713e+02,1.247044704470446952e+01,1.247044704470446952e+01,1.348778135746516284e-06
3.267326732673267315e+02,3.267326732673267315e+02,1.247524752475247567e+01,1.247524752475247567e+01,1.348237208317292763e-06
3.270027002700269918e+02,3.270027002700269918e+02,1.248004800480047827e+01,1.248004800480047827e+01,1.347696733208851999e-06
3.272727272727273089e+02,3.272727272727273089e+02,1.248484848484848442e+01,1.248484848484848442e+01,1.347156709809908314e-06
3.275427542754275692e+02,3.275427542754275692e+02,1.248964896489648879e+01,1.248964896489648879e+01,1.346617137510412698e-06
3.278127812781278294e+02,3.278127812781278294e+02,1.249444944494449317e+01,1.249444944494449317e+01,1.346078015701545820e-06
3.280828082808280897e+02,3.280828082808280897e+02,1.249924992499249932e+01,1.249924992499249932e+01,1.345539343775716759e-06
3.283528352835283499e+02,3.283528352835283499e+02,1.250405040504050191e+01,1.250405040504050191e+01,1.345001121126558769e-06
3.286228622862286670e+02,3.286228622862286670e+02,1.250885088508850806e+01,1.250885088508850806e+01,1.344463347148926102e-06
3.288928892889289273e+02,3.288928892889289273e+02,1.251365136513651422e+01,1.251365136513651422e+01,1.343926021238889771e-06
3.291629162916291875e+02,3.291629162916291875e+02,1.251845184518451859e+01,1.251845184518451859e+01,1.343389142793734801e-06
3.294329432943293909e+02,3.294329432943293909e+02,1.252325232523252296e+01,1.252325232523252296e+01,1.342852711211955355e-06
3.297029702970296512e+02,3.297029702970296512e+02,1.252805280528052911e+01,1.252805280528052911e+01,1.342316725893253044e-06
