Length (nm), Thickness (nm), Width (nm), Inductance (H)
54.545455, 10.000000, 100.000000, 1.870735727704e-07
54.545455, 10.000000, 110.000000, 1.777379640391e-07
54.545455, 10.000000, 120.000000, 1.697960891711e-07
54.545455, 10.000000, 130.000000, 1.630411614070e-07
54.545455, 10.000000, 140.000000, 1.573092537763e-07
54.545455, 20.000000, 50.000000, 2.452039308523e-07
54.545455, 20.000000, 60.000000, 2.265643189941e-07
54.545455, 20.000000, 70.000000, 2.110743785295e-07
54.545455, 20.000000, 80.000000, 1.980689420646e-07
54.545455, 20.000000, 90.000000, 1.870735727704e-07
54.545455, 20.000000, 100.000000, 1.777379640391e-07
54.545455, 20.000000, 110.000000, 1.697960891711e-07
54.545455, 20.000000, 120.000000, 1.630411614070e-07
54.545455, 20.000000, 130.000000, 1.573092537763e-07
54.545455, 20.000000, 140.000000, 1.524682162154e-07
54.545455, 30.000000, 50.000000, 2.265643189941e-07
54.545455, 30.000000, 60.000000, 2.110743785295e-07
54.545455, 30.000000, 70.000000, 1.980689420646e-07
54.545455, 30.000000, 80.000000, 1.870735727704e-07
54.545455, 30.000000, 90.000000, 1.777379640391e-07
54.545455, 30.000000, 100.000000, 1.697960891711e-07
54.545455, 30.000000, 110.000000, 1.630411614070e-07
54.545455, 30.000000, 120.000000, 1.573092537763e-07
54.545455, 30.000000, 130.000000, 1.524682162154e-07
54.545455, 30.000000, 140.000000, 1.484099585188e-07
54.545455, 40.000000, 50.000000, 2.110743785295e-07
54.545455, 40.000000, 60.000000, 1.980689420646e-07
54.545455, 40.000000, 70.000000, 1.870735727704e-07
54.545455, 40.000000, 80.000000, 1.777379640391e-07
54.545455, 40.000000, 90.000000, 1.697960891711e-07
54.545455, 40.000000, 100.000000, 1.630411614070e-07
54.545455, 40.000000, 110.000000, 1.573092537763e-07
54.545455, 40.000000, 120.000000, 1.524682162154e-07
54.545455, 40.000000, 130.000000, 1.484099585188e-07
54.545455, 40.000000, 140.000000, 1.450449424175e-07
54.545455, 50.000000, 50.000000, 1.980689420646e-07
54.545455, 50.000000, 60.000000, 1.870735727704e-07
54.545455, 50.000000, 70.000000, 1.777379640391e-07
54.545455, 50.000000, 80.000000, 1.697960891711e-07
54.545455, 50.000000, 90.000000, 1.630411614070e-07
54.545455, 50.000000, 100.000000, 1.573092537763e-07
54.545455, 50.000000, 110.000000, 1.524682162154e-07
54.545455, 50.000000, 120.000000, 1.484099585188e-07
54.545455, 50.000000, 130.000000, 1.450449424175e-07
54.545455, 50.000000, 140.000000, 1.422981648301e-07
54.545455, 60.000000, 50.000000, 1.870735727704e-07
54.545455, 60.000000, 60.000000, 1.777379640391e-07
54.545455, 60.000000, 70.000000, 1.697960891711e-07
54.545455, 60.000000, 80.000000, 1.630411614070e-07
54.545455, 60.000000, 90.000000, 1.573092537763e-07
54.545455, 60.000000, 100.000000, 1.524682162154e-07
54.545455, 60.000000, 110.000000, 1.484099585188e-07
54.545455, 60.000000, 120.000000, 1.450449424175e-07
54.545455, 60.000000, 130.000000, 1.422981648301e-07
54.545455, 60.000000, 140.000000, 1.401061726193e-07
54.545455, 70.000000, 50.000000, 1.777379640391e-07
54.545455, 70.000000, 60.000000, 1.697960891711e-07
54.545455, 70.000000, 70.000000, 1.630411614070e-07
54.545455, 70.000000, 80.000000, 1.573092537763e-07
54.545455, 70.000000, 90.000000, 1.524682162154e-07
54.545455, 70.000000, 100.000000, 1.484099585188e-07
