Wgr,Rgrr,Rgrt,Rgrb,Rgrl,Rgr
7.144399999999781198e-07,8.092812348915031552e+07,3.560837433522613253e+06,3.560837433522613253e+06,8.092812348915031552e+07,1.705381912606615573e+06
7.146199999999781121e-07,8.092678207329291105e+07,3.560778411224887706e+06,3.560778411224887706e+06,8.092678207329291105e+07,1.705353645222647348e+06
7.147999999999781045e-07,8.092544167070893943e+07,3.560719433511192910e+06,3.560719433511192910e+06,8.092544167070893943e+07,1.705325399191184202e+06
7.149799999999780968e-07,8.092410228037811816e+07,3.560660500336636323e+06,3.560660500336636323e+06,8.092410228037811816e+07,1.705297174490726087e+06
7.151599999999780892e-07,8.092276390128141642e+07,3.560601611656381749e+06,3.560601611656381749e+06,8.092276390128141642e+07,1.705268971099799499e+06
7.153399999999780815e-07,8.092142653240115941e+07,3.560542767425650265e+06,3.560542767425650265e+06,8.092142653240115941e+07,1.705240788996958872e+06
7.155199999999780739e-07,8.092009017272086442e+07,3.560483967599717434e+06,3.560483967599717434e+06,8.092009017272086442e+07,1.705212628160784487e+06
7.156999999999780662e-07,8.091875482122538984e+07,3.560425212133917026e+06,3.560425212133917026e+06,8.091875482122538984e+07,1.705184488569883397e+06
7.158799999999780585e-07,8.091742047690087557e+07,3.560366500983637758e+06,3.560366500983637758e+06,8.091742047690087557e+07,1.705156370202891761e+06
7.160599999999780509e-07,8.091608713873468339e+07,3.560307834104325622e+06,3.560307834104325622e+06,8.091608713873468339e+07,1.705128273038469953e+06
7.162399999999780432e-07,8.091475480571547151e+07,3.560249211451480165e+06,3.560249211451480165e+06,8.091475480571547151e+07,1.705100197055306751e+06
7.164199999999780356e-07,8.091342347683317959e+07,3.560190632980659604e+06,3.560190632980659604e+06,8.091342347683317959e+07,1.705072142232116777e+06
7.165999999999780279e-07,8.091209315107901394e+07,3.560132098647476174e+06,3.560132098647476174e+06,8.091209315107901394e+07,1.705044108547641663e+06
7.167799999999780203e-07,8.091076382744544744e+07,3.560073608407598920e+06,3.560073608407598920e+06,8.091076382744544744e+07,1.705016095980650745e+06
7.169599999999780126e-07,8.090943550492618978e+07,3.560015162216751836e+06,3.560015162216751836e+06,8.090943550492618978e+07,1.704988104509938974e+06
7.171399999999780050e-07,8.090810818251624703e+07,3.559956760030714795e+06,3.559956760030714795e+06,8.090810818251624703e+07,1.704960134114326676e+06
7.173199999999779973e-07,8.090678185921187699e+07,3.559898401805322152e+06,3.559898401805322152e+06,8.090678185921187699e+07,1.704932184772663983e+06
7.174999999999779897e-07,8.090545653401058912e+07,3.559840087496465072e+06,3.559840087496465072e+06,8.090545653401058912e+07,1.704904256463824306e+06
7.176799999999779820e-07,8.090413220591115952e+07,3.559781817060090601e+06,3.559781817060090601e+06,8.090413220591115952e+07,1.704876349166710163e+06
7.178599999999779744e-07,8.090280887391360104e+07,3.559723590452197939e+06,3.559723590452197939e+06,8.090280887391360104e+07,1.704848462860248052e+06
7.180399999999779667e-07,8.090148653701920807e+07,3.559665407628844492e+06,3.559665407628844492e+06,8.090148653701920807e+07,1.704820597523393109e+06
7.182199999999779591e-07,8.090016519423051178e+07,3.559607268546141684e+06,3.559607268546141684e+06,8.090016519423051178e+07,1.704792753135125153e+06
7.183999999999779514e-07,8.089884484455128014e+07,3.559549173160255887e+06,3.559549173160255887e+06,8.089884484455128014e+07,1.704764929674452171e+06
7.185799999999779438e-07,8.089752548698654771e+07,3.559491121427407954e+06,3.559491121427407954e+06,8.089752548698654771e+07,1.704737127120405901e+06
7.187599999999779361e-07,8.089620712054260075e+07,3.559433113303874154e+06,3.559433113303874154e+06,8.089620712054260075e+07,1.704709345452046953e+06
7.189399999999779285e-07,8.089488974422693253e+07,3.559375148745984770e+06,3.559375148745984770e+06,8.089488974422693253e+07,1.704681584648460383e+06
7.191199999999779208e-07,8.089357335704833269e+07,3.559317227710125968e+06,3.559317227710125968e+06,8.089357335704833269e+07,1.704653844688758021e+06
7.192999999999779131e-07,8.089225795801676810e+07,3.559259350152736995e+06,3.559259350152736995e+06,8.089225795801676810e+07,1.704626125552077312e+06
7.194799999999779055e-07,8.089094354614350200e+07,3.559201516030313447e+06,3.559201516030313447e+06,8.089094354614350200e+07,1.704598427217583405e+06
